1,31D,URCEOLELLA,AASII,null,Olson et Haines,null,null,null,URCEOLELLA,AASII,null,Olson et Haines
2,31C,OMBROPHILA,ABACINA,null,Fr.,null,null,null,OMBROPHILA,ABACINA,null,Fr.
